"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI tests","Взятие кредита","Ввод корректного id и отрицательной суммы.","0","0","1","0","0"
"Api tests","Действия с домами","Удаление дома","0","0","1","0","0"
"Api tests","Создание, чтение, изменение, удаление пользователя","Создание, чтение, изменение, удаление пользователя","0","0","1","0","0"
"UI tests","Авторизация","Предоставление прав для работы с проектом","0","0","7","0","0"
"UI tests","Выселение пользователя","Заселение и выселение пользователя","0","0","2","0","0"
"UI tests","Взаимодействие с пользователем","Проверка на создание нового пользователя","0","0","2","0","0"
"UI tests","Взятие кредита","Ввод корректного id и суммы.","0","0","1","0","0"
"UI tests","Взаимодействие с пользователем","Проверка списка машин по id юзера","0","0","1","0","0"
"UI tests","Взаимодействие с автомобилем","Создание нового автомобиля","0","0","8","0","0"
"Api tests","Авторизация","Авторизация","0","0","2","0","0"
"DB tests","Проверка Car в БД","Проверка сохранения Car в БД","0","0","1","0","0"
"Api tests","Проверка получения атрибутов автомобиля","Получения атрибутов по ID автомобиля","0","0","1","0","0"
"UI tests","Действия с домами","Создание дома","0","0","8","0","0"
"UI tests","Взаимодействие с пользователем","Проверка на удаление пользователя","0","0","2","0","0"
"UI tests","Действия с домами","Получение данных о доме","0","0","1","0","0"
"UI tests","Действия с домами","Удаление дома","0","0","1","0","0"
"UI tests","Взаимодействие с пользователем","Проверка на покупку машины по userID и CarID","0","0","1","0","0"
"Api tests","Действия с домами","Создание дома","0","0","1","0","0"
"UI tests","Заселение пользователя","Заселение и выселение пользователя","0","0","2","0","0"
"Api tests","Проверка получения атрибутов пользователя","Получения атрибутов по ID пользователя","0","0","1","0","0"
"UI tests","Добавление денег пользователю","Ввод корректного id и отрицательной суммы.","0","0","1","0","0"
"DB tests","Проверка Пользователя в БД","Проверка сохранения пользователя в БД","0","0","1","0","0"
"UI tests","Взаимодействие с пользователем","Проверка на отсутствие результата создания пользователя","0","0","7","0","0"
"UI tests","Добавление денег пользователю","Ввод корректного id и суммы.","0","0","1","0","0"
"UI tests","Взятие кредита","Ввод некорректного id и суммы.","0","0","1","0","0"
"Api tests","Проверка Информации по пользователю","Проверка денег, и машины у пользователя","0","0","1","0","0"
"Api tests","Создание, чтение, изменение, удаление автомобиля","Создание, чтение, изменение, удаление автомобиля","0","0","1","0","0"
"Api tests","Действия с домами","Изменение дома","0","0","1","0","0"
"UI tests","Заселение и выселение пользователя","Заселение пользователя","0","0","1","0","0"
"UI tests","Добавление денег пользователю","Ввод некорректного id и суммы.","0","0","1","0","0"
"UI tests","Заселение и выселение пользователя","Выселение пользователя","0","0","1","0","0"
